snd_flowery_voiceclip_my_human | file=snd_flowery_voiceclip_my_human.ogg | group=0 | audio=252 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_jarona4_ja | file=snd_flowery_voiceclip_jarona4_ja.ogg | group=0 | audio=237 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_thatsgreat | file=snd_flowery_voiceclip_thatsgreat.ogg | group=0 | audio=300 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_try_my_flavor_ja | file=snd_flowery_voiceclip_try_my_flavor_ja.ogg | group=0 | audio=311 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_jarona1 | file=snd_flowery_voiceclip_jarona1.ogg | group=0 | audio=230 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_all_according_to_all_according_to_plant | file=snd_flowery_voiceclip_all_according_to_all_according_to_plant.ogg | group=0 | audio=160 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_glue | file=snd_flowery_voiceclip_glue.ogg | group=0 | audio=179 | flags=IsEmbedded, Regular
snd_bounceflower | file=snd_bounceflower.ogg | group=0 | audio=69 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_its_all_yours_ja | file=snd_flowery_voiceclip_its_all_yours_ja.ogg | group=0 | audio=222 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_mostlys_ja | file=snd_flowery_voiceclip_mostlys_ja.ogg | group=0 | audio=249 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_suckle_it_up | file=snd_flowery_voiceclip_suckle_it_up.ogg | group=0 | audio=291 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_huhillshowyou | file=snd_flowery_voiceclip_huhillshowyou.ogg | group=0 | audio=210 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_chou_exciting_ja | file=snd_flowery_voiceclip_chou_exciting_ja.ogg | group=0 | audio=164 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorryaboutthatguys | file=snd_flowery_voiceclip_sorryaboutthatguys.ogg | group=0 | audio=272 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_suckle_it_up_ja | file=snd_flowery_voiceclip_suckle_it_up_ja.ogg | group=0 | audio=292 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorryabouttheguy | file=snd_flowery_voiceclip_sorryabouttheguy.ogg | group=0 | audio=276 | flags=IsEmbedded, Regular
snd_flowery_voicenoise_2 | file=snd_flowery_voicenoise_2.ogg | group=0 | audio=329 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_powering_up | file=snd_flowery_voiceclip_powering_up.ogg | group=0 | audio=264 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_your_dad | file=snd_flowery_voiceclip_your_dad.ogg | group=0 | audio=321 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_imsorryonceagainikeptaladyinwaiting | file=snd_flowery_voiceclip_imsorryonceagainikeptaladyinwaiting.ogg | group=0 | audio=216 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_your_dad_ja | file=snd_flowery_voiceclip_your_dad_ja.ogg | group=0 | audio=322 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_lend_me_your_power_ja | file=snd_flowery_voiceclip_lend_me_your_power_ja.ogg | group=0 | audio=245 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_take_that_ja | file=snd_flowery_voiceclip_take_that_ja.ogg | group=0 | audio=296 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_jarona4 | file=snd_flowery_voiceclip_jarona4.ogg | group=0 | audio=236 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_itsmeflowery | file=snd_flowery_voiceclip_itsmeflowery.ogg | group=0 | audio=227 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_my_favorite_two | file=snd_flowery_voiceclip_my_favorite_two.ogg | group=0 | audio=250 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hey_boys_ja | file=snd_flowery_voiceclip_hey_boys_ja.ogg | group=0 | audio=199 | flags=IsEmbedded, Regular
